nom_espace,topic,annotation,mots_cles
CP5/Collectif Curry Vavart,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
MOCA / Museum of Conceptual Art,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
In extenso,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Gasworks,-1,Autres thèmes,Non classifié
INTERIOR and the collectors,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
L'épicerie,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
La Confection Idéale,-1,Autres thèmes,Non classifié
Syndicat Potentiel Strasbourg (Le Faubourg),0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
One gee in fog,-1,Autres thèmes,Non classifié
Wohnmaschine,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
ChezKit,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
MAISON DE L'IMAGE,-1,Autres thèmes,Non classifié
MILLE FEUILLES,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Western Front,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
B'Chira Art Center,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
EP Galerie Jürgen Schweinebraden,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Keramikwerkstatt von Wilfriede Maaß,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
ZABRISKIE POINT,-1,Autres thèmes,Non classifié
Closet,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Treize,-1,Autres thèmes,Non classifié
Deborah Bowmann,-1,Autres thèmes,Non classifié
Park,-1,Autres thèmes,Non classifié
La GAD MARSEILLE,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
The Number Shop,-1,Autres thèmes,Non classifié
"Printed Matter, Inc.",3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
La Couleuvre,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
ECHANGEUR22,-1,Autres thèmes,Non classifié
La Mamelle/Art Com,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
Fer de Lance,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Ecart,-1,Autres thèmes,Non classifié
Zona,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
HIT,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Espace Labo,-1,Autres thèmes,Non classifié
PILOTENKUECHE,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
ruimte Caesuur,-1,Autres thèmes,Non classifié
Club solo,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
JULIO,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
VARIAe,-1,Autres thèmes,Non classifié
Takeawaygallery,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
MOSQUITO COAST FACTORY,-1,Autres thèmes,Non classifié
Flip,-1,Autres thèmes,Non classifié
TRIPODE,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Arprim,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
MARS,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
63rd - 77th STEPS,-1,Autres thèmes,Non classifié
TARS,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
CONA,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
The Lab,-1,Autres thèmes,Non classifié
Les Limbes,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Enterprise Projects,-1,Autres thèmes,Non classifié
TRIPLA,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Clovis XV,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
L'Oeil de boeuf,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
TOPO,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
SHED,-1,Autres thèmes,Non classifié
Art City,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Bruit de fond,-1,Autres thèmes,Non classifié
Ground,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
*DUUU,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Dos Mares,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
El Mentidero,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Spazio In Situ,-1,Autres thèmes,Non classifié
Palette Terre,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Les Ateliers Wonder/Liebert,-1,Autres thèmes,Non classifié
Gallery 44,-1,Autres thèmes,Non classifié
CAPSULE 38,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Fructôse,-1,Autres thèmes,Non classifié
METALAB / RETICULAR,-1,Autres thèmes,Non classifié
Institute for Provocation (IFP),-1,Autres thèmes,Non classifié
W,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
221A,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
3e impérial,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
ACC/CCA,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
aceartinc.,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Action Art Actuel (AAA),3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
AdMare,-1,Autres thèmes,Non classifié
Atelier de l’Île,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
ARTsPLACE,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Alberta Printmakers (A/P),3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Arnica,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artexte,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
AKA,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
articule,-1,Autres thèmes,Non classifié
Chiffonnier,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Art Metropole,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artcite Inc.,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Super F-97,-1,Autres thèmes,Non classifié
ATELIER D’ESTAMPE IMAGO,-1,Autres thèmes,Non classifié
Atelier Presse Papier,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
ARTSPACE,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Artspeak,-1,Autres thèmes,Non classifié
Atelier Circulaire,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Atelier Silex,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
IF,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
GOSWELL ROAD,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
apes&castles,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Grande Surface,-1,Autres thèmes,Non classifié
La Civette,-1,Autres thèmes,Non classifié
Mutatio,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
ERRATUM,-1,Autres thèmes,Non classifié
3 137,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
e/lAboRaTory,-1,Autres thèmes,Non classifié
MAISON PIEUVRE,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
Paradise,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
BIKINI,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
in.plano,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Poteaux d'angle,-1,Autres thèmes,Non classifié
COHERENT,-1,Autres thèmes,Non classifié
Studio Delta,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
KABINET,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
C5,-1,Autres thèmes,Non classifié
Botschaft,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Openspace Bae,-1,Autres thèmes,Non classifié
Ladenatelier Scheib,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Ateliers Vortex,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Rotgrün (rg) Sredzkistraße 64,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
SOX,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Büro Berlin,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Galerie de LOCH,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
798 District Limited,-1,Autres thèmes,Non classifié
Giannozzo Kunstverein,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Paranorm,-1,Autres thèmes,Non classifié
Galerie Loulou Lasard,-1,Autres thèmes,Non classifié
o zwei,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
ACUD,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Künstlerhaus am Acker,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Allgirls,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Espacio O,-1,Autres thèmes,Non classifié
DISPLAY,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
CAMPO,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Sonnenstube,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Flutgraben e.V,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
La Jetée,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
MUCHO MAS !,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
table,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
La salle de bain,-1,Autres thèmes,Non classifié
AU LIEU - éditions extensibles,-1,Autres thèmes,Non classifié
ESPAI COLONA,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Atelier von Michael Diller,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
New Media Society,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
A4 Sounds,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
A-B Projects,-1,Autres thèmes,Non classifié
Easttopics,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
XI box,-1,Autres thèmes,Non classifié
LA><ART,-1,Autres thèmes,Non classifié
6b,-1,Autres thèmes,Non classifié
Apparatus Projects,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
DAS ESSZIMMER,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
Rectangle,-1,Autres thèmes,Non classifié
Sunset RS,-1,Autres thèmes,Non classifié
LE CUBE – INDEPENDENT ART ROOM,-1,Autres thèmes,Non classifié
balak,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
La Source du Lion,-1,Autres thèmes,Non classifié
current space,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
Marwan,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Espacio P,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
MALA FAMA,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Rinomina,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
VIDEO DRAMA,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
warenlift,-1,Autres thèmes,Non classifié
Sorbonne Artgallery,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
0gms,-1,Autres thèmes,Non classifié
Nave Oporto,-1,Autres thèmes,Non classifié
ELA projects,-1,Autres thèmes,Non classifié
Aparador Monteleón,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
AARAU,-1,Autres thèmes,Non classifié
Grommet Studio,-1,Autres thèmes,Non classifié
MEAN,-1,Autres thèmes,Non classifié
Centro Tool,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
QUINCONCE,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
marcablanca,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
All Stars,6,Thème 6: managed & diversity & opening,"managed, diversity, opening, performance, victoria"
TEC - Théorie des Espaces Courbes,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Mercato del Sale,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
Le Château,-1,Autres thèmes,Non classifié
A.Polina,-1,Autres thèmes,Non classifié
MŰTŐ,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Centro Suolo,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
PINCE,-1,Autres thèmes,Non classifié
Glassbox,-1,Autres thèmes,Non classifié
monopôle,-1,Autres thèmes,Non classifié
Les 2 portes,-1,Autres thèmes,Non classifié
BOO 2,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
TILDE,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Corridor Project Space,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Roue libre,-1,Autres thèmes,Non classifié
Red Cactus Art Studio,-1,Autres thèmes,Non classifié
44 Gassendi,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
IN OUT,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
NICC,3,Thème 3: printed & centre & organization,"printed, centre, organization, community, profit"
Maison Jaune,-1,Autres thèmes,Non classifié
Fashion Moda,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
L’Assaut de la menuiserie,7,Thème 7: programming & pieces & charlie,"programming, pieces, charlie, cultural, jean"
Pamela Artist-run Space,-1,Autres thèmes,Non classifié
Pauline Perplexe,-1,Autres thèmes,Non classifié
Zoo Galerie,2,Thème 2: berlin & wall & strategy,"berlin, wall, strategy, different, future"
ARTISTS SPACE,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
Atelier White Cubi,-1,Autres thèmes,Non classifié
Patara Gallery,-1,Autres thèmes,Non classifié
The Clocktower Gallery,-1,Autres thèmes,Non classifié
ART HOUSE,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Franklin Furnace,5,Thème 5: fashion & john & events,"fashion, john, events, books, performance"
The Mothership,-1,Autres thèmes,Non classifié
The Why Not Gallery,-1,Autres thèmes,Non classifié
019,0,Thème 0: events & media & cultural,"events, media, cultural, platform, local"
Galerie huit,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
La Cédille qui sourit.,-1,Autres thèmes,Non classifié
Faux Mouvement,4,Thème 4: family & centre & france,"family, centre, france, residences, atelier"
OCTAVE COWBELL,-1,Autres thèmes,Non classifié
PeepSpace,-1,Autres thèmes,Non classifié
Kurt-forever,-1,Autres thèmes,Non classifié
Palais des paris,1,Thème 1: activity & poetry & research,"activity, poetry, research, milan, activities"
GLASSBOX-NORD,-1,Autres thèmes,Non classifié
